# dataset: address-rules
# source: google-address-data-service
# authority: Google, the Address Data Service the libaddressinput project names
# origin: ssl-address/data/<territory>, the live service record for every territory it lists
# pin: 2026-08-10
# published: 2026-08-10
# licence: CC-BY-4.0
# licence-url: https://creativecommons.org/licenses/by/4.0/
# licence-note: the libaddressinput repository states verbatim that its data is licensed under the CC-BY 4.0
# licence-verified: 2026-08-10
# cadence: ad hoc
# compiled-in: true
# columns: territory,format,required,postcode
NL	%O%n%N%n%A%n%Z %C	ACZ	[1-9]\d{3} ?(?:[A-RT-Z][A-Z]|S[BCE-RT-Z])
NO	%N%n%O%n%A%n%Z %C	ACZ	\d{4}
NP	%N%n%O%n%A%n%C %Z		\d{5}
NR	%N%n%O%n%A%n%S	AS	
NU			
NZ	%N%n%O%n%A%n%D%n%C %Z	ACDZ	\d{4}
OM	%N%n%O%n%A%n%Z%n%C		(?:PC )?\d{3}
PA	%N%n%O%n%A%n%C%n%S		
PE	%N%n%O%n%A%n%C %Z%n%S		(?:LIMA \d{1,2}|CALLAO 0?\d)|[0-2]\d{4}
PF	%N%n%O%n%A%n%Z %C %S	ACSZ	987\d{2}
PG	%N%n%O%n%A%n%C %Z %S	ACS	\d{3}
PH	%N%n%O%n%A%n%D, %C%n%Z %S		\d{4}
PK	%N%n%O%n%A%n%D%n%C-%Z		\d{5}
PL	%N%n%O%n%A%n%Z %C	ACZ	\d{2}-\d{3}
PM	%O%n%N%n%A%n%Z %C %X	ACZ	9[78]5\d{2}
PN	%N%n%O%n%A%n%C%n%Z	ACZ	PCRN 1ZZ
PR	%N%n%O%n%A%n%C PR %Z	ACZ	(00[679]\d{2})(?:[ \-](\d{4}))?
PS			
PT	%N%n%O%n%A%n%Z %C	ACZ	\d{4}-\d{3}
PW	%N%n%O%n%A%n%C %S %Z	ACSZ	(969(?:39|40))(?:[ \-](\d{4}))?
PY	%N%n%O%n%A%n%Z %C		\d{6}
QA			
RE	%O%n%N%n%A%n%Z %C %X	ACZ	9[78]4\d{2}
RO	%N%n%O%n%A%n%Z %S %C	ACZ	\d{6}
