# dataset: phone-formats
# source: libphonenumber
# authority: The libphonenumber Authors
# origin: resources/PhoneNumberMetadata.xml numberFormat rows, nationalPrefixFormattingRule substituted
# pin: v9.0.35
# published: 2026-07-26
# licence: Apache-2.0
# licence-url: https://www.apache.org/licenses/LICENSE-2.0
# licence-note: the metadata file carries the Apache-2.0 notice in its own header
# licence-verified: 2026-07-26
# cadence: roughly fortnightly
# compiled-in: true
# columns: territory,callingCode,order,leadingDigits,groups,national,international
CN	86	2	(?:10|2[0-57-9])[19]|3(?:[157]|35|49|9[1-68])|4(?:1[124-9]|2[179]|6[47-9]|7|8[23])|5(?:[1357]|2[37]|4[36]|6[1-46]|80)|6(?:3[1-5]|6[0238]|9[12])|7(?:01|[1579]|2[248]|3[014-9]|4[3-6]|6[023689])|8(?:07|1[236-8]|2[5-7]|[37]|8[36-8]|9[1-8])|9(?:0[1-3689]|1[1-79]|3|4[13]|5[1-5]|7[0-79]|9[0-35-9])|(?:4[35]|59|85)[1-9]	2 5-6	0$1 $2	$1 $2
CN	86	3	[1-9]	3 4	$1 $2	NA
CN	86	4	16[08]	4 4	$1 $2	NA
CN	86	5	3(?:[157]|35|49|9[1-68])|4(?:[17]|2[179]|6[47-9]|8[23])|5(?:[1357]|2[37]|4[36]|6[1-46]|80)|6(?:3[1-5]|6[0238]|9[12])|7(?:01|[1579]|2[248]|3[014-9]|4[3-6]|6[023689])|8(?:1[236-8]|2[5-7]|[37]|8[36-8]|9[1-8])|9(?:0[1-3689]|1[1-79]|[379]|4[13]|5[1-5])|(?:4[35]|59|85)[1-9]	3 5-6	0$1 $2	$1 $2
CN	86	6	[1-9]	4 4	$1 $2	NA
CN	86	7	(?:4|80)0	3 3 4	$1 $2 $3	$1 $2 $3
CN	86	8	10|2(?:[02-57-9]|1[1-9])	2 4 4	0$1 $2 $3	$1 $2 $3
CN	86	9	3(?:[3-59]|7[02-68])|4(?:[26-8]|3[3-9]|5[2-9])|5(?:3[03-9]|[468]|7[028]|9[2-46-9])|6|7(?:[0-247]|3[04-9]|5[0-4689]|6[2368])|8(?:[1-358]|9[1-7])|9(?:[013479]|5[1-5])|(?:[34]1|55|79|87)[02-9]	3 3 4	0$1 $2 $3	$1 $2 $3
CO	57	0	46	4 4	$1 $2	$1 $2
CO	57	1	6|90	3 7	($1) $2	$1 $2
CO	57	2	3[0-357]|9[14]	3 7	$1 $2	$1 $2
CO	57	3	1	1 3 7	0$1-$2-$3	$1 $2 $3
CR	506	0	[2-7]|8[3-9]	4 4	$1 $2	$1 $2
CR	506	1	[89]	3 3 4	$1-$2-$3	$1-$2-$3
CU	53	0	2[1-4]|[34]	2 4-6	(0$1) $2	$1 $2
CU	53	1	7	1 6-7	(0$1) $2	$1 $2
CU	53	2	[56]	1 7	0$1 $2	$1 $2
CU	53	3	8	3 7	0$1 $2	$1 $2
CV	238	0	[2-589]	3 2 2	$1 $2 $3	$1 $2 $3
CW	599	0	[3467]	3 4	$1 $2	$1 $2
CW	599	1	9[4-8]	1 3 4	$1 $2 $3	$1 $2 $3
CY	357	0	[257-9]	2 6	$1 $2	$1 $2
CZ	420	0	[2-8]|9[015-7]	3 3 3	$1 $2 $3	$1 $2 $3
CZ	420	1	96	2 3 3 2	$1 $2 $3 $4	$1 $2 $3 $4
CZ	420	2	9	2 3 3 3	$1 $2 $3 $4	$1 $2 $3 $4
CZ	420	3	9	3 3 3 3	$1 $2 $3 $4	$1 $2 $3 $4
DE	49	0	3[02]|40|[68]9	2 3-13	0$1 $2	$1 $2
DE	49	1	227	6	$1	NA
DE	49	10	185	5 6	0$1 $2	$1 $2
DE	49	11	7	3 4 4	0$1 $2 $3	$1 $2 $3
DE	49	12	18[68]	4 7	0$1 $2	$1 $2
DE	49	13	15[1279]	4 7	0$1 $2	$1 $2
DE	49	14	15[03568]	5 6	0$1 $2	$1 $2
DE	49	15	18	3 8	0$1 $2	$1 $2
