# dataset: phone
# source: libphonenumber
# authority: The libphonenumber Authors
# origin: resources/PhoneNumberMetadata.xml
# pin: v9.0.35
# published: 2026-07-26
# licence: Apache-2.0
# licence-url: https://www.apache.org/licenses/LICENSE-2.0
# licence-note: the metadata file carries the Apache-2.0 notice in its own header
# licence-verified: 2026-07-26
# cadence: roughly fortnightly
# compiled-in: true
# columns: territory,callingCode,main,trunk,lengths
KM	269			7
KN	1		1	10
KP	850		0	10 8
KR	82		0	10 11 5 6 8 9 [11-14] [8-10]
KW	965			7 8
KY	1		1	10
KZ	7		8	10 14
LA	856		0	10 8 9
LB	961		0	7 8
LC	1		1	10
LI	423		0	7 9
LK	94		0	9
LR	231		0	7 8 9
LS	266			8
LT	370		0	8
LU	352			8 9 [4-10] [4-11]
LV	371			8
LY	218		0	9
MA	212	main	0	9
MC	377		0	8 9
MD	373		0	8
ME	382		0	8 9
MF	590		0	9
MG	261		0	9
MH	692		1	7
MK	389		0	8
ML	223			8
MM	95		0	10 8 [6-9] [7-10]
MN	976		0	8 [8-10]
MO	853			7 8
MP	1		1	10
MQ	596		0	9
MR	222			8
MS	1		1	10
MT	356			8
MU	230			10 7 8
MV	960			10 7
MW	265		0	7 9
MX	52			10
MY	60		0	10 8 9
MZ	258			8 9
NA	264		0	8 9
NC	687			6
NE	227			8
NF	672			6
NG	234		0	10 [10-14]
NI	505			8
NL	31		0	11 5 6 9 [7-10]
NO	47	main		5 8
NP	977		0	10 11 8
NR	674			7
NU	683			4 7
NZ	64		0	8 9 [5-10] [7-10] [8-10]
OM	968			8 [7-9]
PA	507			10 11 7 8
PE	51		0	8 9
PF	689			6 8 9
PG	675			7 8
PH	63		0	10 6 [11-13] [8-10]
PK	92		0	10 11 12 8 9
PL	48			10 7 9 [6-9]
PM	508		0	6 9
PR	1		1	10
PS	970		0	10 8 9
PT	351			9
PW	680			7
PY	595		0	9 [6-9] [7-9] [9-11]
QA	974			11 7 8 9
RE	262	main	0	9
RO	40		0	6 9
RS	381		0	[6-10] [6-12] [7-12] [8-10]
RU	7	main	8	10 14
RW	250		0	8 9
SA	966		0	10 9
SB	677			5 7
SC	248			7
SD	249		0	9
SE	46		0	12 9 [6-9] [7-10] [7-9]
SG	65			10 11 8
SH	290	main		4 5
SI	386		0	8 [5-8] [6-8]
SJ	47			5 8
SK	421		0	6 7 9
SL	232		0	8
SM	378			10 8
SN	221			9
SO	252		0	6 7 [7-9]
SR	597			6 7
SS	211		0	9
ST	239			7
SV	503			11 7 8
SX	1		1	10
SY	963		0	8 9
SZ	268			8 9
TA	290			4
TC	1		1	10
TD	235			8
TG	228			8
TH	66		0	10 13 8 9
TJ	992			9
TK	690			[4-7]
TL	670			7 8
TM	993		8	8
TN	216			8
TO	676			5 7
TR	90		0	10 12 13 7
TT	1		1	10
TV	688			5 6 7
TW	886		0	10 11 7 8 9
TZ	255		0	9
UA	380		0	10 9
UG	256		0	9
US	1	main	1	10
UY	598		0	4 5 7 8 [6-13]
UZ	998			9
VA	39			10 11 12 6 9 [6-11] [8-10]
VC	1		1	10
VE	58		0	10
VG	1		1	10
VI	1		1	10
VN	84		0	10 7 8 9 [8-10]
VU	678			5 7
WF	681			6 9
WS	685			10 5 6 7
XK	383		0	8 [8-12]
YE	967		0	7 8 9
YT	262		0	9
ZA	27		0	10 9 [5-9]
ZM	260		0	9
ZW	263		0	10 7 9 [5-10]
