# dataset: culture-numbering
# source: cldr
# authority: Unicode Consortium
# origin: common/main/*.xml numbers symbols, per numbering system
# pin: release-48-2
# published: 2026-03-17
# licence: Unicode-3.0
# licence-url: https://www.unicode.org/license.txt
# licence-note: Unicode License v3 grants distribution of the Data Files
# licence-verified: 2026-07-26
# cadence: two major releases per year, plus point releases
# compiled-in: true
# columns: locale,system,decimal,group,minimum,minusSign,plusSign,percentSign,perMille
root	arab	٫	٬	1	؜-	؜+	٪؜	؉
root	arabext	٫	٬	1	‎-‎	‎+‎	٪	؉
root	latn	.	,	1	-	+	%	‰
ru	latn	,	 					
rw	latn	,	.					
sah	latn	,	 					
sc	latn	,	.					
scn	latn	,	.					
sd	arab	.						
sd	arabext	.	،					
sd	deva		،					
sd-Deva	arabext	.						
se	latn	,	 		−			
seh	latn	,	.					
ses	latn		 					
sg	latn	,	.					
shi	latn	,	 					
shi-Latn	latn	,	 					
sk	latn	,	 					
sl	latn	,	.	2	−			
smn	latn	,	 					
sq	latn	,	 	2				
sr	latn	,	.					
sr-Latn	latn	,	.					
ss	latn	,	 					
su	latn	,	.					
sv	arab		 		؜−			؉‏
sv	arabext	,	 		‎−‎			
sv	latn	,	 		−			
sw-CD	latn	,	.					
szl	latn	,	 					
tg	latn	,	 					
tk	latn	,	 					
tn	latn		'					
to	arab				‏-	‏+		
tok	latn	,	 					
tr	latn	,	.					
ts	latn	,	 					
tt	latn	,	 					
twq	latn		 					
tyv	latn		 					
tzm	latn	,	 					
uk	latn	,	 					
ur	arab	،	,			+		
ur	arabext						%	‰
ur	latn				‎-	‎+		
uz	arabext				-	+		
uz	latn	,	 					
uz-Arab	latn	,	.		‎−	‎+		
uz-Cyrl	arab				-	+		
uz-Cyrl	arabext				-	+		
uz-Cyrl	latn	,	 					
ve	latn	,	 					
vec	latn	,	 					
vi	latn	,	.					
vmw	latn	,	.					
wae	latn	,	'					
wal	latn		'					
wo	latn	,	.					
xh	latn		 					
yav	latn	,	 					
yrl	latn	,	.					
zgh	latn	,	 					
zh-Hant	arab				-			
zh-Hant	arabext					+‎		
